"año","mes","dia","cantidad","venta"
2019,2,1,125.8,79647.1
2019,2,10,255,164550.1
2019,2,1,255,163424.3
2018,2,1,391,242205.6
2018,7,1,181.9,105966.9
2018,2,10,470.9,291720
2019,2,10,149.6,96317
2018,2,1,214.2,133337.1
2017,2,3,723,346609.2
2018,7,10,467.5,272746.5
2018,2,10,317.9,198777.8
2017,3,1,673.5,348318
2018,7,1,391,228423
2017,2,4,1261.5,607294.8
2018,10,1,372.3,213961.8
2017,2,6,534,271291.2
2017,8,1,453,289920
2019,1,10,382.5,204457.5
2019,2,12,389.3,201069.7
2019,1,10,564.4,301642.9
2018,5,10,202.3,125785.4
2017,3,10,360,182430
2017,2,7,597,310611.6
2018,7,10,238,137101.9
2017,6,13,336,207864
2019,2,11,413.1,209067.3
2017,3,1,1107,577962
2018,10,10,251.6,144107.6
2019,1,11,574.6,308711
2017,2,5,559.5,268880.4
2018,5,11,246.5,152677.2
2017,5,10,252,156240
2019,2,12,192.1,99568.3
2017,8,10,169.5,108480
2018,7,11,382.5,217579.7
2019,1,11,584.8,312789.1
2018,3,1,581.4,356430.1
2017,12,18,816,468099.6
2018,9,10,547.4,292050.2
2018,5,10,239.7,146000.4
2018,2,11,241.4,150841.6
2019,2,11,365.5,178685
2017,5,11,211.5,131130
2017,4,1,408,226039.2
2017,8,10,253.5,162240
2018,10,1,425,262874.3
2017,3,10,528,269643.6
2018,7,11,181.9,102651.9
2018,5,11,360.4,221601.9
2017,12,19,573,346725.6
2018,3,10,783.7,422242.6
2018,9,10,341.7,192691.2
2017,8,1,226.5,144691.2
2018,4,1,236.3,147425.2
2018,2,11,413.1,255377.2
2017,6,15,333,206460
2017,4,10,603,368455.2
2018,10,10,408,233688
2018,9,1,307.7,200005
2017,5,10,511.5,317130
2018,6,7,270.3,167272.3
2018,8,1,204,127405.2
2018,7,12,409.7,234923
2019,1,12,613.7,331921.2
2017,3,11,538.5,272712
2017,5,11,402,249240
2018,5,12,365.5,226318.3
2017,12,17,348,204777.6
2018,2,13,481.1,295912.5
2017,4,1,280.5,154766.4
2018,9,1,214.2,139230
2019,2,13,300.9,156149.5
2017,6,14,546,338520
2017,9,1,274.5,175680
2018,8,10,193.8,125970
2017,12,18,547.5,308630.4
2018,3,1,268.6,166938.2
2018,10,11,311.1,178187.1
