CIRCUNSCRIPCIÓN SENATORIAL,DISTRITO,CIRCUNSCRIPCIÓN PROVINCIAL,COMUNA,COMUNA CAPITALIZADA
1,1,ARICA,ARICA,Arica
1,1,ARICA,CAMARONES,Camarones
1,1,PARINACOTA,GENERAL LAGOS,General Lagos
1,1,PARINACOTA,PUTRE,Putre
2,2,IQUIQUE,ALTO HOSPICIO,Alto Hospicio
2,2,IQUIQUE,IQUIQUE,Iquique
2,2,TAMARUGAL,CAMIÑA,Camiña
2,2,TAMARUGAL,COLCHANE,Colchane
2,2,TAMARUGAL,HUARA,Huara
2,2,TAMARUGAL,PICA,Pica
2,2,TAMARUGAL,POZO ALMONTE,Pozo Almonte
3,3,ANTOFAGASTA,ANTOFAGASTA,Antofagasta
3,3,ANTOFAGASTA,MEJILLONES,Mejillones
3,3,ANTOFAGASTA,SIERRA GORDA,Sierra Gorda
3,3,ANTOFAGASTA,TALTAL,Taltal
3,3,EL LOA,CALAMA,Calama
3,3,EL LOA,OLLAGUE,Ollague
3,3,EL LOA,SAN PEDRO DE ATACAMA,San Pedro De Atacama
3,3,TOCOPILLA,MARIA ELENA,Maria Elena
3,3,TOCOPILLA,TOCOPILLA,Tocopilla
4,4,CHAÑARAL,CHAÑARAL,Chañaral
4,4,CHAÑARAL,DIEGO DE ALMAGRO,Diego De Almagro
4,4,COPIAPO,CALDERA,Caldera
4,4,COPIAPO,COPIAPO,Copiapo
4,4,COPIAPO,TIERRA AMARILLA,Tierra Amarilla
4,4,HUASCO,ALTO DEL CARMEN,Alto Del Carmen
4,4,HUASCO,FREIRINA,Freirina
4,4,HUASCO,HUASCO,Huasco
4,4,HUASCO,VALLENAR,Vallenar
5,5,CHOAPA,CANELA,Canela
5,5,CHOAPA,ILLAPEL,Illapel
5,5,CHOAPA,LOS VILOS,Los Vilos
5,5,CHOAPA,SALAMANCA,Salamanca
5,5,ELQUI,ANDACOLLO,Andacollo
5,5,ELQUI,COQUIMBO,Coquimbo
5,5,ELQUI,LA HIGUERA,La Higuera
5,5,ELQUI,LA SERENA,La Serena
5,5,ELQUI,PAIGUANO,Paiguano
5,5,ELQUI,VICUÑA,Vicuña
5,5,LIMARI,COMBARBALA,Combarbala
5,5,LIMARI,MONTE PATRIA,Monte Patria
5,5,LIMARI,OVALLE,Ovalle
5,5,LIMARI,PUNITAQUI,Punitaqui
5,5,LIMARI,RIO HURTADO,Rio Hurtado
6,6,LOS ANDES,CALLE LARGA,Calle Larga
6,6,LOS ANDES,LOS ANDES,Los Andes
