CIRCUNSCRIPCIÓN SENATORIAL,DISTRITO,CIRCUNSCRIPCIÓN PROVINCIAL,COMUNA
1,1,ARICA,ARICA
1,1,ARICA,CAMARONES
1,1,PARINACOTA,GENERAL LAGOS
1,1,PARINACOTA,PUTRE
2,2,IQUIQUE,ALTO HOSPICIO
2,2,IQUIQUE,IQUIQUE
2,2,TAMARUGAL,CAMIÑA
2,2,TAMARUGAL,COLCHANE
2,2,TAMARUGAL,HUARA
2,2,TAMARUGAL,PICA
2,2,TAMARUGAL,POZO ALMONTE
3,3,ANTOFAGASTA,ANTOFAGASTA
3,3,ANTOFAGASTA,MEJILLONES
3,3,ANTOFAGASTA,SIERRA GORDA
3,3,ANTOFAGASTA,TALTAL
3,3,EL LOA,CALAMA
3,3,EL LOA,OLLAGUE
3,3,EL LOA,SAN PEDRO DE ATACAMA
3,3,TOCOPILLA,MARIA ELENA
3,3,TOCOPILLA,TOCOPILLA
4,4,CHAÑARAL,CHAÑARAL
4,4,CHAÑARAL,DIEGO DE ALMAGRO
4,4,COPIAPO,CALDERA
4,4,COPIAPO,COPIAPO
4,4,COPIAPO,TIERRA AMARILLA
4,4,HUASCO,ALTO DEL CARMEN
4,4,HUASCO,FREIRINA
4,4,HUASCO,HUASCO
4,4,HUASCO,VALLENAR
5,5,CHOAPA,CANELA
5,5,CHOAPA,ILLAPEL
5,5,CHOAPA,LOS VILOS
5,5,CHOAPA,SALAMANCA
5,5,ELQUI,ANDACOLLO
5,5,ELQUI,COQUIMBO
5,5,ELQUI,LA HIGUERA
5,5,ELQUI,LA SERENA
5,5,ELQUI,PAIGUANO
5,5,ELQUI,VICUÑA
5,5,LIMARI,COMBARBALA
5,5,LIMARI,MONTE PATRIA
5,5,LIMARI,OVALLE
5,5,LIMARI,PUNITAQUI
5,5,LIMARI,RIO HURTADO
6,6,LOS ANDES,CALLE LARGA
6,6,LOS ANDES,LOS ANDES
6,6,LOS ANDES,RINCONADA
6,6,LOS ANDES,SAN ESTEBAN
6,6,MARGA MARGA,LIMACHE
6,6,MARGA MARGA,OLMUE
6,6,MARGA MARGA,QUILPUE
6,6,MARGA MARGA,VILLA ALEMANA
6,6,PETORCA,CABILDO
6,6,PETORCA,LA LIGUA
6,6,PETORCA,PAPUDO
6,6,PETORCA,PETORCA
6,6,PETORCA,ZAPALLAR
6,6,QUILLOTA,CALERA
6,6,QUILLOTA,HIJUELAS
6,6,QUILLOTA,LA CRUZ
6,6,QUILLOTA,NOGALES
6,6,QUILLOTA,QUILLOTA
6,6,SAN FELIPE,CATEMU
6,6,SAN FELIPE,LLAILLAY
6,6,SAN FELIPE,PANQUEHUE
6,6,SAN FELIPE,PUTAENDO
6,6,SAN FELIPE,SAN FELIPE
6,6,SAN FELIPE,SANTA MARIA
6,6,VALPARAISO I,PUCHUNCAVI
6,6,VALPARAISO I,QUINTERO
6,7,ISLA DE PASCUA,ISLA DE PASCUA
6,7,SAN ANTONIO,ALGARROBO
6,7,SAN ANTONIO,CARTAGENA
6,7,SAN ANTONIO,EL QUISCO
6,7,SAN ANTONIO,EL TABO
6,7,SAN ANTONIO,SAN ANTONIO
6,7,SAN ANTONIO,SANTO DOMINGO
6,7,VALPARAISO I,CONCON
6,7,VALPARAISO I,VIÑA DEL MAR
6,7,VALPARAISO II,CASABLANCA
6,7,VALPARAISO II,JUAN FERNANDEZ
6,7,VALPARAISO II,VALPARAISO
7,8,CHACABUCO,COLINA
7,8,CHACABUCO,LAMPA
7,8,CHACABUCO,TILTIL
7,8,SANTIAGO I,PUDAHUEL
7,8,SANTIAGO I,QUILICURA
7,8,SANTIAGO III,CERRILLOS
7,8,SANTIAGO III,ESTACION CENTRAL
7,8,SANTIAGO III,MAIPU
7,9,SANTIAGO I,CONCHALI
7,9,SANTIAGO I,HUECHURABA
7,9,SANTIAGO I,RENCA
7,9,SANTIAGO II,CERRO NAVIA
7,9,SANTIAGO II,INDEPENDENCIA
7,9,SANTIAGO II,LO PRADO
7,9,SANTIAGO II,QUINTA NORMAL
7,9,SANTIAGO II,RECOLETA
7,10,SANTIAGO II,SANTIAGO
7,10,SANTIAGO IV,ÑUÑOA
7,10,SANTIAGO IV,PROVIDENCIA
7,10,SANTIAGO V,LA GRANJA
7,10,SANTIAGO V,MACUL
7,10,SANTIAGO V,SAN JOAQUIN
7,11,SANTIAGO IV,LA REINA
7,11,SANTIAGO IV,LAS CONDES
7,11,SANTIAGO IV,LO BARNECHEA
7,11,SANTIAGO IV,VITACURA
7,11,SANTIAGO V,PEÑALOLEN
7,12,CORDILLERA,PIRQUE
7,12,CORDILLERA,PUENTE ALTO
7,12,CORDILLERA,SAN JOSE DE MAIPO
7,12,SANTIAGO V,LA FLORIDA
7,12,SANTIAGO VI,LA PINTANA
7,13,SANTIAGO VI,EL BOSQUE
7,13,SANTIAGO VI,LA CISTERNA
7,13,SANTIAGO VI,LO ESPEJO
7,13,SANTIAGO VI,PEDRO AGUIRRE CERDA
7,13,SANTIAGO VI,SAN MIGUEL
7,13,SANTIAGO VI,SAN RAMON
7,14,MAIPO,BUIN
7,14,MAIPO,CALERA DE TANGO
7,14,MAIPO,PAINE
7,14,MAIPO,SAN BERNARDO
7,14,MELIPILLA,ALHUE
7,14,MELIPILLA,CURACAVI
7,14,MELIPILLA,MARIA PINTO
7,14,MELIPILLA,MELIPILLA
7,14,MELIPILLA,SAN PEDRO
7,14,TALAGANTE,EL MONTE
