CIRCUNSCRIPCIÓN SENATORIAL,DISTRITO,CIRCUNSCRIPCIÓN PROVINCIAL,Comuna
1,1,ARICA,Arica
1,1,ARICA,Camarones
1,1,PARINACOTA,General Lagos
1,1,PARINACOTA,Putre
2,2,IQUIQUE,Alto Hospicio
2,2,IQUIQUE,Iquique
2,2,TAMARUGAL,Camiña
2,2,TAMARUGAL,Colchane
2,2,TAMARUGAL,Huara
2,2,TAMARUGAL,Pica
2,2,TAMARUGAL,Pozo Almonte
3,3,ANTOFAGASTA,Antofagasta
3,3,ANTOFAGASTA,Mejillones
3,3,ANTOFAGASTA,Sierra Gorda
3,3,ANTOFAGASTA,Taltal
3,3,EL LOA,Calama
3,3,EL LOA,Ollague
3,3,EL LOA,San Pedro De Atacama
3,3,TOCOPILLA,Maria Elena
3,3,TOCOPILLA,Tocopilla
4,4,CHAÑARAL,Chañaral
4,4,CHAÑARAL,Diego De Almagro
4,4,COPIAPO,Caldera
4,4,COPIAPO,Copiapo
4,4,COPIAPO,Tierra Amarilla
4,4,HUASCO,Alto Del Carmen
4,4,HUASCO,Freirina
4,4,HUASCO,Huasco
4,4,HUASCO,Vallenar
5,5,CHOAPA,Canela
5,5,CHOAPA,Illapel
5,5,CHOAPA,Los Vilos
5,5,CHOAPA,Salamanca
5,5,ELQUI,Andacollo
5,5,ELQUI,Coquimbo
5,5,ELQUI,La Higuera
5,5,ELQUI,La Serena
5,5,ELQUI,Paiguano
5,5,ELQUI,Vicuña
5,5,LIMARI,Combarbala
5,5,LIMARI,Monte Patria
5,5,LIMARI,Ovalle
5,5,LIMARI,Punitaqui
5,5,LIMARI,Rio Hurtado
6,6,LOS ANDES,Calle Larga
6,6,LOS ANDES,Los Andes
6,6,LOS ANDES,Rinconada
6,6,LOS ANDES,San Esteban
6,6,MARGA MARGA,Limache
6,6,MARGA MARGA,Olmue
6,6,MARGA MARGA,Quilpue
6,6,MARGA MARGA,Villa Alemana
6,6,PETORCA,Cabildo
6,6,PETORCA,La Ligua
6,6,PETORCA,Papudo
6,6,PETORCA,Petorca
6,6,PETORCA,Zapallar
6,6,QUILLOTA,Calera
6,6,QUILLOTA,Hijuelas
6,6,QUILLOTA,La Cruz
6,6,QUILLOTA,Nogales
6,6,QUILLOTA,Quillota
6,6,SAN FELIPE,Catemu
6,6,SAN FELIPE,Llaillay
6,6,SAN FELIPE,Panquehue
6,6,SAN FELIPE,Putaendo
6,6,SAN FELIPE,San Felipe
6,6,SAN FELIPE,Santa Maria
6,6,VALPARAISO I,Puchuncavi
6,6,VALPARAISO I,Quintero
6,7,ISLA DE PASCUA,Isla De Pascua
6,7,SAN ANTONIO,Algarrobo
6,7,SAN ANTONIO,Cartagena
6,7,SAN ANTONIO,El Quisco
6,7,SAN ANTONIO,El Tabo
6,7,SAN ANTONIO,San Antonio
6,7,SAN ANTONIO,Santo Domingo
6,7,VALPARAISO I,Concon
6,7,VALPARAISO I,Viña Del Mar
6,7,VALPARAISO II,Casablanca
6,7,VALPARAISO II,Juan Fernandez
6,7,VALPARAISO II,Valparaiso
7,8,CHACABUCO,Colina
7,8,CHACABUCO,Lampa
7,8,CHACABUCO,Tiltil
7,8,SANTIAGO I,Pudahuel
7,8,SANTIAGO I,Quilicura
7,8,SANTIAGO III,Cerrillos
7,8,SANTIAGO III,Estacion Central
7,8,SANTIAGO III,Maipu
7,9,SANTIAGO I,Conchali
7,9,SANTIAGO I,Huechuraba
7,9,SANTIAGO I,Renca
7,9,SANTIAGO II,Cerro Navia
7,9,SANTIAGO II,Independencia
7,9,SANTIAGO II,Lo Prado
7,9,SANTIAGO II,Quinta Normal
7,9,SANTIAGO II,Recoleta
7,10,SANTIAGO II,Santiago
7,10,SANTIAGO IV,Ñuñoa
7,10,SANTIAGO IV,Providencia
7,10,SANTIAGO V,La Granja
7,10,SANTIAGO V,Macul
7,10,SANTIAGO V,San Joaquin
7,11,SANTIAGO IV,La Reina
7,11,SANTIAGO IV,Las Condes
7,11,SANTIAGO IV,Lo Barnechea
7,11,SANTIAGO IV,Vitacura
7,11,SANTIAGO V,Peñalolen
7,12,CORDILLERA,Pirque
7,12,CORDILLERA,Puente Alto
7,12,CORDILLERA,San Jose De Maipo
7,12,SANTIAGO V,La Florida
7,12,SANTIAGO VI,La Pintana
7,13,SANTIAGO VI,El Bosque
7,13,SANTIAGO VI,La Cisterna
7,13,SANTIAGO VI,Lo Espejo
7,13,SANTIAGO VI,Pedro Aguirre Cerda
7,13,SANTIAGO VI,San Miguel
7,13,SANTIAGO VI,San Ramon
7,14,MAIPO,Buin
7,14,MAIPO,Calera De Tango
7,14,MAIPO,Paine
7,14,MAIPO,San Bernardo
7,14,MELIPILLA,Alhue
7,14,MELIPILLA,Curacavi
7,14,MELIPILLA,Maria Pinto
7,14,MELIPILLA,Melipilla
7,14,MELIPILLA,San Pedro
7,14,TALAGANTE,El Monte
7,14,TALAGANTE,Isla De Maipo
7,14,TALAGANTE,Padre Hurtado
7,14,TALAGANTE,Peñaflor
7,14,TALAGANTE,Talagante
8,15,CACHAPOAL I,Rancagua
8,15,CACHAPOAL II,Codegua
8,15,CACHAPOAL II,Coinco
8,15,CACHAPOAL II,Coltauco
8,15,CACHAPOAL II,Doñihue
8,15,CACHAPOAL II,Graneros
8,15,CACHAPOAL II,Machali
8,15,CACHAPOAL II,Malloa
8,15,CACHAPOAL II,Mostazal
8,15,CACHAPOAL II,Olivar
